"File","Line","Snippet"
"bots/discord/node_modules/.pnpm/zod@3.25.76/node_modules/zod/src/v4/mini/tests/string.test.ts","289","      ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"bots/discord/node_modules/.pnpm/zod@3.25.76/node_modules/zod/src/v4/mini/tests/string.test.ts","292","    ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"bots/discord/node_modules/dotenv/README-es.md","84","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/discord/node_modules/dotenv/README-es.md","94","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
"bots/discord/node_modules/dotenv/README.md","102","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/discord/node_modules/dotenv/README.md","112","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
"bots/twitch/node_modules/.pnpm/dotenv@16.6.1/node_modules/dotenv/README-es.md","84","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/twitch/node_modules/.pnpm/dotenv@16.6.1/node_modules/dotenv/README-es.md","94","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
"bots/twitch/node_modules/.pnpm/dotenv@16.6.1/node_modules/dotenv/README.md","102","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/twitch/node_modules/.pnpm/dotenv@16.6.1/node_modules/dotenv/README.md","112","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
"bots/twitch/node_modules/.pnpm/zod@3.25.76/node_modules/zod/src/v4/mini/tests/string.test.ts","289","      ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"bots/twitch/node_modules/.pnpm/zod@3.25.76/node_modules/zod/src/v4/mini/tests/string.test.ts","292","    ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"bots/twitch/node_modules/dotenv/README-es.md","84","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/twitch/node_modules/dotenv/README-es.md","94","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
"bots/twitch/node_modules/dotenv/README.md","102","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----"
"bots/twitch/node_modules/dotenv/README.md","112","PRIVATE_KEY=""-----BEGIN RSA PRIVATE KEY-----\nKh9NV...\n-----END RSA PRIVATE KEY-----\n"""
"bots/twitch/node_modules/zod/src/v4/mini/tests/string.test.ts","289","      ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"bots/twitch/node_modules/zod/src/v4/mini/tests/string.test.ts","292","    ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"""
"project-scan.json","34","                                            ""Value"":  ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJjaXRhZGVsIiwiZXhwIjoxNzY4MzM5MDYwLCJqdGkiOiJkYTYxOTUzNS03NDVmLTQyN2UtYWY3YS05NGEzNWE4NDhiY2YiLCJjaGFubmVsIjoiNTk1ODY0YjU0MDE4OGYwNGI1MzQwZDQ4Iiwicm9sZSI6Im93bmVyIiwiYXV0aFRva2VuIjoiM012Y2pVN29SV2hDZEUxM1VsRkIiLCJ1c2VyIjoiNTllODg4ZDBmZDY5MTAxNTM5ZGJkZTc5IiwidXNlcl9pZCI6ImU4NWNkZTMyLWQ5MWQtNDEyMC04ZmFjLWUyMTE1YTE0MGM1ZSIsInVzZXJfcm9sZSI6ImNyZWF0b3IiLCJwcm92aWRlciI6InR3aXRjaCIsInByb3ZpZGVyX2lkIjoiODcwMTE0ODciLCJjaGFubmVsX2lkIjoiMTM0MTAwMjItY2E5NC00OWQ0LWIyMmItNmRiNmNkMTUwMzMwIiwiY3JlYXRvcl9pZCI6ImJhZDBiZDI3LTYzZTYtNDEyYi1iOWFhLTUyNTUzYTZmY2M4OSJ9.0QagmAoeJ7B-CoDXhSDezEdZm_SwFLuMgmtrPxaSKsk"","
